CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U35201DL2024PTC433075,IOC GPS RENEWABLES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,3600000000,1083000000,6/21/2024,"NBCC COMMERCIAL SPACE,10 FLR,TOWER2, KIDWAI NGR,Delhi,South West Delhi,Delhi,110023-India",Unlisted,Active,delhi,Indian,35201,"Electricity, Gas and Water companies"
U35202DL2024PTC437692,AUROTERRA ENERGY PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1500000,1500000,10/14/2024,"E-36, Basement,Greater Kailash-II,New Delhi,South Delhi,Delhi,110019-India",Unlisted,Active,delhi,Indian,35202,"Electricity, Gas and Water companies"
U35301DL2006PTC152243,BIRAT AVIATION (INDIA) PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,5000000,1000000,8/19/2006,"210, SOUTH EXTENSION PLAZA-1, 389 MASJID MOTH   SOUTH EXTENSION PART-II,NEW DELHI,Delhi,110004-India",Unlisted,Strike Off,delhi,Indian,35301,Manufacturing (Machinery and Equipments)
U35303DL1976PTC008325,GOMBA SHIPPING INDIA PRIVATE LIMITED,ROC Delhi,Company limited by guarantee,Non-government company,Private,50000,0,9/8/1976,"TWIGA HOUSE, 3 COMMUNITYCENTRE, EAST OF KAILASH   NEW DELHI,NA,Delhi,000000-India",Unlisted,Strike Off,delhi,Indian,35303,Manufacturing (Machinery and Equipments)
U35303DL2008PTC185998,SKYQUEST AVIATION PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,20000000,20000000,12/19/2008,"A-11, FARVA SANJHI APARTMENTS   SECTOR-9, DWARKA,NEW DELHI,Delhi,110075-India",Unlisted,Active,delhi,Indian,35303,Manufacturing (Machinery and Equipments)
U35303DL2010PLC211833,SAMTEL TECHNOLOGIES LIMITED,ROC Delhi,Company limited by shares,Non-government company,Public,30000000,3375000,12/28/2010,"1212, 12th Floor, 43 Chiranjiv Tower,   Nehru Place,,New Delhi,South Delhi,Delhi,110019-India",Unlisted,Active,delhi,Indian,35303,Manufacturing (Machinery and Equipments)
U35900DL2019PTC353614,RECENTISSIMO AUTOMATION PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,8/7/2019,"N-228 G/F   VISHNU GARDEN,NEW DELHI,West Delhi,Delhi,110018-India",Unlisted,Strike Off,delhi,Indian,35900,Manufacturing (Machinery and Equipments)
U35911DL1901PTC007956,JAGDAMBA AUTOMOBILES PRIVATE LIMITED,ROC Delhi,Company limited by guarantee,Non-government company,Private,500000,20000,1/1/1901,"NA,C 114 GREATER KAILASH - I 2ND FLOOR,Delhi,Delhi,110048-India",Unlisted,Strike Off,delhi,Indian,35911,Manufacturing (Machinery and Equipments)
U35914DL1997PLC091135,SIEG HOF AUTO LIMITED,ROC Delhi,Company limited by shares,Non-government company,Public,500000,700,12/12/1997,"I-83,(F-F)LAJPAT NAGAR-II,N.DELHI-24,NA,Delhi,000000-India",Unlisted,Strike Off,delhi,Indian,35914,Manufacturing (Machinery and Equipments)
U35914DL2006PTC151174,DASH AUTO ENGINEERING PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,7/21/2006,"Flat No. S-1, 2nd Floor,   Plot No.- 48, Street No.- 22, Zakir Naga,r,NEW DELHI,Delhi,110025-India",Unlisted,Active,delhi,Indian,35914,Manufacturing (Machinery and Equipments)
U35921DL1994PTC061417,CEZARIO PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,2500000,200,9/13/1994,"A-5, MALCHA MARG,,NEW DELHI,South Delhi,Delhi,110021-India",Unlisted,Strike Off,delhi,Indian,35921,Manufacturing (Machinery and Equipments)
U35923DL1986PTC022983,SBL HANDLE BAR ANCILLARY PRIVATE LIMITED.,ROC Delhi,Company limited by shares,Non-government company,Private,500000,200,1/6/1986,"20/1   ASAF ALI ROAD,NEW DELHI,Delhi,110002-India",Unlisted,Strike Off,delhi,Indian,35923,Manufacturing (Machinery and Equipments)
