CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U68200GJ2014PTC081034,NIVCA ENTERPRISES PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000,500000,10/13/2014,"GR. FLOOR, SHOP 20, SHAYONA ARCADE,   ARTEX COMPOUND, L B SHSTRI MARG, BAUNAGA,R,AHMEDABAD,Ahmedabad,Gujarat,380024-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U68200GJ2023PTC140150,GREAVEK INFRASTRUCTURE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000,100000,4/12/2023,"Ground Floor, Shop, Vasda Road,opposite Rohit Ashram, Khund,Chikhli,Navsari,Gujarat,396521-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U68200GJ2023PTC142684,PROPLIST SERVICES PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,7/6/2023,"12, VIJAY ERA,,NR. VISWAKARMA TEMPLE,Dascroi,Ahmedabad,Gujarat,382210-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U68200GJ2023PTC142948,PARAMANAND REALITY PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,7/14/2023,"SHOPNO.316,AVADHA VICEROY,SARTHANA JAKATNAKA,,Surat,Surat,Gujarat,395006-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U68200GJ2023PTC147188,SINDHAV INFRASTRUCTURE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,12/26/2023,"A-702, One World Capital,,Beside Rajpath Club,,Ahmadabad City,Ahmedabad,Gujarat,380054-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U68200GJ2024PTC156673,GREENTECH LIFESPACE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1000000,1000000,11/26/2024,"UNIT-B, SIXTH FLOOR,,PANCHDHARA COMPLEX,Ahmadabad City,Ahmedabad,Gujarat,380054-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U69100GJ2025PTC161233,CFC ESSENTIAL PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,4/8/2025,"PARISHRAM PARK A 10,,BARDOLI  221106,Bardoli,Surat,Gujarat,394601-India",Unlisted,Active,gujarat,Indian,69100,"Community, personal and Social Services"
U69200GJ2024PTC150850,SILVERPEAK ADVISORY PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,4/23/2024,"405, SHAKINA APPARTMENT,VOHARWAD,Bharuch,Bharuch,Gujarat,392001-India",Unlisted,Active,gujarat,Indian,69200,"Community, personal and Social Services"
U99999GJ1992PTC017873,GODAVARI PIPES PVT LTD,ROC Ahmedabad,Company limited by shares,Non-government company,Private,3500000,3500000,6/23/1992,"PLOT NO.- 6&7, SURVEY NO - 27   Village:- SHAPAR(VERAVAL),Tal.- KOTDA SANGANI, Dist.- RAJKOT,Gujarat,000000-India",Unlisted,Active,gujarat,Indian,99999,"Community, personal and Social Services"
U99999GJ1992PTC018218,AKSHAR TEA AND FOOD PROCESSOR PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1000000,150000,8/28/1992,"NR. LIMDI ,AT &POST-DASHRATH,BARODA,Vadodara,Gujarat,000000-India",Unlisted,Strike Off,gujarat,Indian,99999,"Community, personal and Social Services"
U99999GJ1993PTC018768,IDEX INDIA PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,79000000,7350700,1/1/1993," Survey No. 256,   GIDC Manjusar,,Savli,Gujarat,391770-India",Unlisted,Active,gujarat,Indian,99999,"Community, personal and Social Services"
U99999GJ1997PTC032099,STREAM NETWORKING SOLUTIONS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000,200,4/11/1997,"255/B, SAHAKAR NAGAR, NEW SAMAROAD, POST-E.M.E.   BARODA. 390 008,NA,Vadodara,Gujarat,000000-India",Unlisted,Under process of striking off,gujarat,Indian,99999,"Community, personal and Social Services"
U99999GJ1997PTC033212,VIDYUT POWER PROJECTS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,200,10/20/1997,"A/203, MAHAN TERRACE,ADAJAN ROAD,,SURAT,Surat,Gujarat,395001-India",Unlisted,Strike Off,gujarat,Indian,99999,"Community, personal and Social Services"
U01403GJ1994PTC021450,JAYRAJ FARMS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,0,3/1/1994,"CELLAR SHANTI CHAMBERS,OPP:DINESH HALL,NAVRANGPURA   AHMEDABAD.9,NA,Ahmedabad,Gujarat,000000-India",Unlisted,Strike Off,gujarat,Indian,1403,Agriculture and Allied Activities
U01403GJ2006PTC049587,PULSE MEDICAUSE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,0,12/14/2006,"G/97 SHANTIKUNJ SOCIETY, IOC ROAD   CHANDKHEDA,GANDHINAGAR,Gandhinagar,Gujarat,382424-India",Unlisted,Strike Off,gujarat,Indian,1403,Agriculture and Allied Activities
U01403GJ2010PTC103059,CORAL FARM DEVELOPERS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,65000000,45000000,4/22/2010,"F-112, Bosky Plaza   Near Pethapur Chokdi, Village Pethapur,Gandhinagar,Gandhinagar,Gujarat,382610-India",Unlisted,Active,gujarat,Indian,1403,Agriculture and Allied Activities
U01403GJ2011PTC066593,GREENCOM AGRO PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,8/1/2011,"C/O S.S. FURNISHING, SHIVAJI MARKET   NEAR DENA BANK, AMIR ROAD,PALANPUR,Banas Kantha,Gujarat,385001-India",Unlisted,Strike Off,gujarat,Indian,1403,Agriculture and Allied Activities
U01403GJ2013PTC075199,GANDHINAGAR TRADELINK PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,5/23/2013,"10/32, SHREENAGAR   SECTOR-24,GANDHINAGAR,Gujarat,382024-India",Unlisted,Active,gujarat,Indian,1403,Agriculture and Allied Activities
U01403GJ2013PTC076133,PARSHWA AGROTECH PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,7/22/2013,"303, SAHJANAND COMPLEX, AADARSH SOCIETY,   B/H BHAGWATI CHAMBER, C.G.ROAD, NAVRANGP,URA,,AHMEDABAD,Ahmedabad,Gujarat,380009-India",Unlisted,Strike Off,gujarat,Indian,1403,Agriculture and Allied Activities
U01403GJ2014PTC078340,SIDDHANSH AGRO BUSINESS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,1/20/2014,"Godhra Road, Dist-Dohad, Taluka - Dohad,,Dohad,Dahod,Gujarat,389151-India",Unlisted,Strike Off,gujarat,Indian,1403,Agriculture and Allied Activities
U01403GJ2015PTC084259,KANAM SEEDS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,2100000,1500000,8/19/2015,"A 38 Vrajlila Society   Waghodia Road,Vadodara,Vadodara,Gujarat,390019-India",Unlisted,Active,gujarat,Indian,1403,Agriculture and Allied Activities
U01403GJ2015PTC084621,INNOVAC BIOSCIENCE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,9/29/2015,"PLOT NO. 60/2, BLOCK NO. 50/B   TDT MEGHA INDUSTRIAL PARK, LAMDAPURA MAN,JUSAR,VADODARA,Vadodara,Gujarat,391775-India",Unlisted,Active,gujarat,Indian,1403,Agriculture and Allied Activities
U01405GJ2013PTC074621,SHRIHARI GINNING AND PRESSING PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000,250000,4/22/2013,"15 K, BHADALI ROAD   KOTADA NAL, BHADALI ROAD (VINCHHIA), TAL,UKA JASDAN,RAJKOT,Rajkot,Gujarat,360055-India",Unlisted,Strike Off,gujarat,Indian,1405,Agriculture and Allied Activities
U01407GJ2013PTC073909,SOMNATH FARMERS PRODUCER COMPANY LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,2500000,903500,3/9/2013,"Krishi Vigyan Kendra,Ambuja Nagar   Near Ambuja Vidya Nekatan School, Ambuja, Nagar,Kodinar,Junagadh,Gujarat,362715-India",Unlisted,Active,gujarat,Indian,1407,Agriculture and Allied Activities
U01409GJ2018PTC104508,WINDSOR SEEDS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,9/30/2018,"B-403, PRAMUKH SIGNATURE, KUDASAN   NEAR PETROL PUMP, RAYSAN,GANDHINAGAR,Gandhinagar,Gujarat,382007-India",Unlisted,Active,gujarat,Indian,1409,Agriculture and Allied Activities
U01409GJ2021PTC124176,SHREE ATMA NIRBHAR ADIVASI MAHILA KHEDUT UTPADAK PRODUCER COMPANY LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,2000000,1018500,7/16/2021,"FLAT NO. 931/18, WAGHAI, OPP. C. H. C. WAGHAI,   TALUKA- THE DANGS,DANG,The Dangs,Gujarat,394730-India",Unlisted,Active,gujarat,Indian,1409,Agriculture and Allied Activities
U01500GJ2024PTC147970,KAMLAM FARMERS PRODUCER COMPANY LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,50000,1/22/2024,"C/o. Balaji Oil Mill,Opp. Hotel Shree, Jamvali,Gondal,Rajkot,Gujarat,360311-India",Unlisted,Active,gujarat,Indian,1500,Agriculture and Allied Activities
U01611GJ2023PTC146388,FUSIONBIZ AGRO PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,11/21/2023,"A-1323, Sun West Bank,Ashram Road,City Ahmedabad,Ahmedabad,Gujarat,380009-India",Unlisted,Active,gujarat,Indian,1611,Agriculture and Allied Activities
U01611GJ2024PTC155205,GUNDLAV JAIVIK KISAN PRODUCER COMPANY LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,9/19/2024,"CHAR RASTA, KALWADA,,Village Kalwada,Valsad,Valsad,Gujarat,396045-India",Unlisted,Active,gujarat,Indian,1611,Agriculture and Allied Activities
