CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U74900MH2015OPC260926,RANN NEETI STRATEGIC CONSULTANTS OPC PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,One Person Company,100000,100000,1/15/2015,"29th Floor, 2903 B, Vivarea, Sane Guruji Marg,   Near Jacob Circle, Mahalaxmi,Mumbai,Mumbai City,Maharashtra,400011-India",Unlisted,Active,maharashtra,Indian,74900,Business Services
U51109MH1998PTC117120,NAVNATH MARKETING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,0,11/16/1998,"C-31 NEELIMA APARTMENTJ M ROAD BHANDUP WEST,MUMBAI,Maharashtra,400078-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2006PTC257376,SHRINGAR VANIJYA PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,5600000,5435000,3/8/2006,"804/6, Sahyadri, CHS., Neelkanth Vally, 7th Road,   Rajawadi, Ghatkopar (E),,Mumbai,Mumbai City,Maharashtra,400077-India",Unlisted,Active,maharashtra,Indian,51109,Trading
U74900MH2015OPC268173,CREOCODE TECHNOLOGIES (OPC) PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,One Person Company,100000,100000,9/7/2015,"A-102, PIONEER HERITAGE RESI - 1, NR.SANTACRUZ BUS   SANE GURUJI SCHOOL, (W),MUMBAI,Maharashtra,400054-India",Unlisted,Strike Off,maharashtra,Indian,74900,Business Services
U74900MH2015PTC260591,STARBLAZE VENTURES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,1/2/2015,"FlAT B-7, PL-6, SECTOR -14   SWAPNAK CO-OP HOUSING SOCIETY, VASHI,MUMBAI,Thane,Maharashtra,400703-India",Unlisted,Active,maharashtra,Indian,74900,Business Services
U51109MH2007PTC175785,EQUIRUS COMMODITIES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,11/7/2007,"8TH FLOOR, LAXMI TOWERS, B WING,   BANDRA KURLA COMPLEX, BANDRA (EAST),MUMBAI,Mumbai City,Maharashtra,400051-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2005PTC312681,AYUSH VANIJYA PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,16000000,15655100,6/24/2005,"H NO 240 AMBAZARI LAYOUT,NAGPUR,Nagpur,Maharashtra,440010-India",Unlisted,Dormant under section 455,maharashtra,Indian,51109,Trading
U51109MH2007PTC176100,ROSEATE TRADING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,45000000,41000000,11/22/2007,"Room No 21, Premji Patel Chwal, Shailesh Nagar,   Orlem Tenk Road, Malad (West),Mumbai,Maharashtra,400064-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2007PTC176940,DAKSHA MULTITRADE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1100000,1025000,12/19/2007,"SHREE NIWASH HOUSE, 2nd FLOOR   HAZARIMAL SOMANI MARG, FORT,MUMBAI,Mumbai City,Maharashtra,400001-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U74900MH2015PTC261099,SILT DREDGE INFRASTRUCTURE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000,100000,1/19/2015,"504, SHAILJA APARTMENT, 50,   NARGIS DUTT ROAD, PALI HILL, BANDRA (WES,T),MUMBAI,Mumbai City,Maharashtra,400050-India",Unlisted,Strike Off,maharashtra,Indian,74900,Business Services
