CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U27106KA2008PTC045714,SYNEW STEEL PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000000,49625000,3/24/2008,"806A, 8th Floor, Prestige Towers,   # 99 & 100, Residency Road,,Bangalore,Bangalore,Karnataka,560025-India",Unlisted,Dissolved (Liquidated),karnataka,Indian,27106,"Manufacturing (Metals and Chemicals, and products thereof)"
U27109KA1983PTC005772,DOLPHIN DIE CAST PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,50000000,49770000,12/24/1983,"Unit-III, No.266B,06th Main Road, KIADB Industrial   Area, 04th Phase, Jigani Link Road, Bomm,asandra,Bangalore,Karnataka,562106-India",Unlisted,Active,karnataka,Indian,27109,"Manufacturing (Metals and Chemicals, and products thereof)"
U27109KA1987PTC008572,DIAMOND METAL SCREENS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,15000000,15000000,9/7/1987,"PLOT NO 26,R.S.NO.336/1   MAJAGAON,UDYAMBAG,BELGAUM,Karnataka,590008-India",Unlisted,Active,karnataka,Indian,27109,"Manufacturing (Metals and Chemicals, and products thereof)"
U27200KA2022PTC167238,INFLUUNT SERVICES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,10000,10/19/2022,"No.17, Muniswamy Naidu Layout,   Subramanyapur,Uttarahalli,Bangalore,Karnataka,560061-India",Unlisted,Active,karnataka,Indian,27200,"Manufacturing (Metals and Chemicals, and products thereof)"
U27205KA2007PTC042298,SLATE DESIGNS INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,500000,0,3/29/2007,"884 60 feet Road BEML Lay out 4th stage   Rajarajeswarinagar,Bangalore,Bangalore,Karnataka,560098-India",Unlisted,Strike Off,karnataka,Indian,27205,"Manufacturing (Metals and Chemicals, and products thereof)"
U27300KA2019PTC124760,RGL STEELS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,500000,500000,5/29/2019,"FLAT # 415, 1ST FLOOR, RANKA PARK   BANGALORE,BANGALORE,Bangalore,Karnataka,560027-India",Unlisted,Active,karnataka,Indian,27300,"Manufacturing (Metals and Chemicals, and products thereof)"
U27310KA1999PTC024999,A.W. INDUSTRIES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,25000000,23850200,4/1/1999,"NO.47/1, MOTHINAGAR,G.S. STREET,   BANGALORE,BANGALORE,Karnataka,560002-India",Unlisted,Active,karnataka,Indian,27310,"Manufacturing (Metals and Chemicals, and products thereof)"
U27320KA1979PTC003577,J.C.METALS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,3577000,6000,7/28/1979,"PLOT NO.8,DODDANEKKUNDIIND.AREA,WHITEFIELD ROAD,   ,BANGALORE,BANGALORE,Karnataka,000000-India",Unlisted,Amalgamated,karnataka,Indian,27320,"Manufacturing (Metals and Chemicals, and products thereof)"
U27320KA1981PTC004514,GAURAV STEEL FORGE PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,300,11/30/1981,"PRESTIGE NISHAT,2ND FLOOR,NO.6,LADY CURZON ROAD,   BANGALORE 560001,BANGALORE,Karnataka,560001-India",Unlisted,Strike Off,karnataka,Indian,27320,"Manufacturing (Metals and Chemicals, and products thereof)"
U27320KA2006PTC039674,MITRA DIE CASTING SOLUTIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,7000000,7000000,6/9/2006,"128 6TH MAIN BOMMASANDRA INDUSTRIAL AREA,BANGALORE,Karnataka,560099-India",Unlisted,Strike Off,karnataka,Indian,27320,"Manufacturing (Metals and Chemicals, and products thereof)"
